;c_procedure_1;c_procedure_katalog_1;mapped_katalog;number_of_mappings;number_of_upsamplings;matchable_code
77;116b030106;OPS 2012;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];1344.0;9.0;1
78;3-609;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];12.0;1.0;Mrz 60
79;3-829;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];17.0;1.0;Mrz 82
80;5-014.5;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];39.0;1.0;5-014.
81;5-015.02;ICPM;['OPS'];1.0;1.0;5-015.0
82;5-015.03;ICPM;['OPS'];1.0;1.0;5-015.0
83;5-015.30;ICPM;['OPS'];1.0;1.0;5-015.3
84;5-015.31;ICPM;['OPS'];1.0;1.0;5-015.3
85;5-015.41;ICPM;['OPS'];1.0;1.0;5-015.4
86;5-015.52;ICPM;['OPS'];1.0;1.0;5-015.5
87;5-021.20;ICPM;['OPS'];1.0;1.0;5-021.2
88;5-025.4x;ICPM;['OPS'];1.0;1.0;5-025.4
89;5-025.66;ICPM;['OPS'];1.0;1.0;5-025.6
90;5-026.21;ICPM;['OPS'];1.0;1.0;5-026.2
91;5-028.00;OPS 2007;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];36.0;2.0;5-028.
92;5-028.02;OPS 2008;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];36.0;2.0;5-028.
93;5-028.22;OPS 2006;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];6.0;1.0;5-028.2
94;5-030.44;ICPM;['OPS', 'OPS', 'OPS', 'OPS'];4.0;1.0;5-030.4
95;5-031.13;ICPM;['OPS', 'OPS', 'OPS', 'OPS'];4.0;1.0;5-031.1
96;5-031.2y;ops_v21;['OPS', 'OPS', 'OPS', 'OPS'];4.0;1.0;5-031.2
97;5-036.13;ICPM;['OPS'];1.0;1.0;5-036.1
98;5-040.20;ICPM;['OPS'];1.0;1.0;5-040.2
99;5-048.4x;ICPM;['OPS'];1.0;1.0;5-048.4
100;5-055.42;ICPM;['OPS'];1.0;1.0;5-055.4
101;5-056.01;ICPM;['OPS'];1.0;1.0;5-056.0
102;5-057.41;ICPM;['OPS'];1.0;1.0;5-057.4
103;5-059.00;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];82.0;2.0;5-059.
104;5-059.04;OPS 2008;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];82.0;2.0;5-059.
105;5-071.33;OPS 2004;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];19.0;2.0;5-071.
106;5-091.2y;ops_v20;['OPS', 'OPS', 'OPS'];3.0;1.0;5-091.2
107;5-091.3y;ops_v21;['OPS', 'OPS', 'OPS'];3.0;1.0;5-091.3
108;5-100.2;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];70.0;3.0;05. Okt
109;5-101.01;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];70.0;4.0;05. Okt
110;5-101.02;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];70.0;4.0;05. Okt
111;5-101.05;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];70.0;4.0;05. Okt
112;5-101.15;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];70.0;4.0;05. Okt
113;5-102.0;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];70.0;3.0;05. Okt
114;5-102.00;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];70.0;4.0;05. Okt
115;5-102.05;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];70.0;4.0;05. Okt
116;5-103.14;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];70.0;4.0;05. Okt
117;5-104.00;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];70.0;4.0;05. Okt
118;5-106.22;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];70.0;4.0;05. Okt
119;5-106.y;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];70.0;3.0;05. Okt
120;5-107.00;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];70.0;4.0;05. Okt
121;5-125.12;ICPM;['OPS', 'OPS', 'OPS'];3.0;1.0;5-125.1
122;5-125.1x;ICPM;['OPS', 'OPS', 'OPS'];3.0;1.0;5-125.1
123;5-126.10;ICPM;['OPS'];1.0;1.0;5-126.1
124;5-138.0y;ops_v20;['OPS', 'OPS', 'OPS', 'OPS'];4.0;1.0;5-138.0
125;5-143.01;OPS 2006;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-143.0
126;5-143.04;OPS 2006;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-143.0
127;5-143.x1;OPS 2004;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-143.x
128;5-143.x3;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-143.x
129;5-144.02;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];91.0;2.0;5-144.
130;5-144.04;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];91.0;2.0;5-144.
131;5-144.0x;OPS 2004;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];91.0;2.0;5-144.
132;5-144.12;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];91.0;2.0;5-144.
133;5-144.12;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];91.0;2.0;5-144.
134;5-144.24;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-144.2
135;5-144.33;OPS 2006;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-144.3
136;5-144.52;OPS 2006;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-144.5
137;5-144.x2;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-144.x
138;5-144.x2;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-144.x
139;5-145.02;OPS 2006;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-145.0
